Screen,Image,Image Path,Report Type,Status
Screen 1,2026-07-22_09-12-00.623.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-12-00.623.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-13-30.599.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-13-30.599.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-15-00.769.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-15-00.769.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-16-30.668.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-16-30.668.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-17-13.129.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-17-13.129.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-18-43.445.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-18-43.445.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-20-13.400.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-20-13.400.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-21-43.397.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-21-43.397.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-23-13.464.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-23-13.464.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-24-43.425.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-24-43.425.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-26-13.440.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-26-13.440.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-27-43.547.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-27-43.547.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-29-13.453.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-29-13.453.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-30-43.453.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-30-43.453.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-32-13.514.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-32-13.514.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-33-43.483.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-33-43.483.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-35-13.482.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-35-13.482.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-36-43.529.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-36-43.529.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-38-13.777.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-38-13.777.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-39-43.575.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-39-43.575.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-41-13.626.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-41-13.626.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-42-43.685.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-42-43.685.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-44-13.557.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-44-13.557.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-45-43.594.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-45-43.594.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-47-13.607.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-47-13.607.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-48-43.597.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-48-43.597.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-50-13.738.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-50-13.738.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-51-43.593.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-51-43.593.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-53-13.617.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-53-13.617.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-54-43.637.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-54-43.637.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-56-13.628.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-56-13.628.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-57-43.630.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-57-43.630.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_09-59-13.641.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_09-59-13.641.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-00-43.649.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-00-43.649.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-02-13.722.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-02-13.722.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-03-43.657.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-03-43.657.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-05-13.641.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-05-13.641.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-06-43.642.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-06-43.642.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-08-13.668.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-08-13.668.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-09-43.725.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-09-43.725.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-11-13.657.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-11-13.657.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-12-43.663.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-12-43.663.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-14-13.726.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-14-13.726.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-15-43.692.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-15-43.692.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-17-13.675.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-17-13.675.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-18-43.694.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-18-43.694.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-20-13.696.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-20-13.696.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-21-43.695.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-21-43.695.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-23-13.710.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-23-13.710.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-24-43.714.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-24-43.714.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-26-13.804.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-26-13.804.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-27-43.722.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-27-43.722.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-29-13.731.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-29-13.731.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-30-43.739.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-30-43.739.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-32-13.743.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-32-13.743.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-33-43.759.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-33-43.759.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-35-13.756.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-35-13.756.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-36-43.755.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-36-43.755.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-38-13.791.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-38-13.791.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-39-43.800.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-39-43.800.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-41-13.821.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-41-13.821.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-42-43.829.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-42-43.829.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-44-13.853.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-44-13.853.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-45-43.860.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-45-43.860.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-47-13.861.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-47-13.861.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-48-43.842.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-48-43.842.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-50-13.850.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-50-13.850.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-51-43.867.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-51-43.867.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-53-13.913.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-53-13.913.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-54-43.912.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-54-43.912.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-56-13.925.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-56-13.925.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-57-43.964.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-57-43.964.jpeg,UNKNOWN,PENDING
Screen 1,2026-07-22_10-59-13.957.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 1\2026-07-22_10-59-13.957.jpeg,UNKNOWN,PENDING
Screen 2,2026-07-22_09-33-43.483.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 2\2026-07-22_09-33-43.483.jpeg,UNKNOWN,PENDING
Screen 2,2026-07-22_09-35-13.482.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 2\2026-07-22_09-35-13.482.jpeg,UNKNOWN,PENDING
Screen 2,2026-07-22_09-36-43.529.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 2\2026-07-22_09-36-43.529.jpeg,UNKNOWN,PENDING
Screen 2,2026-07-22_09-38-13.777.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 2\2026-07-22_09-38-13.777.jpeg,UNKNOWN,PENDING
Screen 2,2026-07-22_09-39-43.575.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 2\2026-07-22_09-39-43.575.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-12-00.623.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-12-00.623.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-13-30.599.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-13-30.599.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-15-00.769.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-15-00.769.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-16-30.668.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-16-30.668.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-17-13.129.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-17-13.129.jpeg,UNKNOWN,PENDING
