Symbol,CMP,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Price,Price chg,Price chg (%),OI,OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%),Price Chg (%),Total OI,Total OI Chg,Total OI Chg (%),PCR,IV,IV Chg (%),IV Range (1Yr),HV (10/20/30 Days),IVR,IVP,IV/HV10 %,IV/HV20 %,IV/HV30 %,Resistance Strike,Resistance Call OI,Resistance Call OI Chg,Resistance Distance %,Near Resistance,Support Strike,Support Put OI,Support Put OI Chg,Support Distance %,Near Support
DABUR,428.5,3.27,2.9,0.68,-1.22,-4.95,-98.0,-0.39,0.03,5.17,-587,-5.06,-59,-0.87,528,428.5,2.9,0.68,31000000.0,-122500.0,-0.39,-5.25 Cr,2275000.0,105.88,0.68,31000000,-122500,-0.39,0.61,23.44,-4.95,13.58 - 33.00,28.52 / 32.46 / 28.93,50.77,66.8,-17.81,-27.79,-18.98,,,,,,,,,,
DALBHARAT,1830.2,4.49,-2.9,-0.16,0.85,2.69,541.0,3.67,0.03,3.8,471,13.68,491,18.1,20,1830.2,-2.9,-0.16,4966975.0,175825.0,3.67,32.18 Cr,624325.0,24.74,-0.16,4966975,175825,3.67,0.82,32.43,2.69,13.87 - 79.50,40.02 / 34.10 / 34.62,28.28,80.16,-18.97,-4.9,-6.33,,,,,,,,,,
DELHIVERY,492.2,4.9,-5.85,-1.17,0.54,1.55,173.0,1.34,-0.05,-8.2,868,7.47,-28,-0.4,-896,492.2,-5.85,-1.17,27163825.0,358975.0,1.34,17.67 Cr,10123925.0,132.44,-1.17,27163825,358975,1.34,0.56,35.4,1.55,18.50 - 49.76,36.95 / 50.24 / 43.82,54.06,83.81,-4.19,-29.54,-19.21,,,,,,,,,,
DIVISLAB,7242.0,2.84,-53.5,-0.73,-2.28,-10.34,39.0,0.09,-0.06,-5.13,192,1.15,-738,-3.79,-930,7242.0,-53.5,-0.73,4120800.0,3900.0,0.09,2.82 Cr,327900.0,-17.26,-0.73,4120800,3900,0.09,1.11,19.76,-10.34,6.18 - 50.03,26.62 / 25.07 / 26.52,30.97,17.0,-25.77,-21.18,-25.49,,,,,,,,,,
DIXON,14229.0,5.01,-162.0,-1.13,-2.72,-7,-384.0,-0.85,-0.07,-7.53,999,2.42,-1902,-4.95,-2901,14229.0,-162.0,-1.13,2228100.0,-19200.0,-0.85,-27.32 Cr,643150.0,-64.26,-1.13,2228100,-19200,-0.85,0.86,36.16,-7,19.33 - 61.85,62.09 / 51.98 / 48.08,39.58,46.56,-41.76,-30.43,-24.79,,,,,,14000.0,4299.0,119.0,1.61,NO
DLF,660.2,4.78,17.7,2.75,0.42,1.23,-1086.0,-2.44,0.03,4.69,-739,-4.67,-83,-0.82,656,660.2,17.7,2.75,41270850.0,-1031700.0,-2.44,-68.11 Cr,6842850.0,50.97,2.75,41270850,-1031700,-2.44,0.67,34.47,1.23,13.80 - 56.30,52.60 / 46.69 / 47.52,48.64,80.97,-34.47,-26.17,-27.46,680.0,2504.0,-107.0,3.0,NO,,,,,
DMART,3944.6,3.44,-3.4,-0.09,-2.23,-8.26,-186.0,-0.54,-0.04,-10.81,1664,5.85,-389,-3.72,-2053,3944.6,-3.4,-0.09,5149950.0,-27900.0,-0.54,-11.01 Cr,363450.0,-16.39,-0.09,5149950,-27900,-0.54,0.33,24.76,-8.26,14.71 - 49.03,23.37 / 31.52 / 31.71,29.28,45.34,5.95,-21.45,-21.92,,,,,,,,,,
DRREDDY,1215.2,4.18,-13.6,-1.11,-1.56,-4.91,-30.0,-0.13,0,0,362,1.09,314,2.17,-48,1215.2,-13.6,-1.11,14965000.0,-18750.0,-0.13,-2.28 Cr,2216250.0,87.62,-1.11,14965000,-18750,-0.13,0.44,30.18,-4.91,7.63 - 40.88,34.47 / 35.43 / 29.14,67.82,89.07,-12.45,-14.82,3.57,,,,,,1200.0,1388.0,102.0,1.25,NO
EICHERMOT,7564.5,3.32,140.5,1.89,-1.61,-6.29,12.0,0.03,0.02,2.25,-663,-3.07,-79,-0.41,584,7564.5,140.5,1.89,3847300.0,1200.0,0.03,90.77 L,443700.0,27.28,1.89,3847300,1200,0.03,0.91,24.0,-6.29,12.65 - 55.76,23.66 / 30.41 / 31.03,26.33,56.68,1.44,-21.08,-22.66,,,,,,,,,,
ETERNAL,286.95,6.36,0.45,0.16,-0.71,-1.52,-1635.0,-2.64,0.03,5.26,-1078,-3.45,29,0.16,1107,286.95,0.45,0.16,146246900.0,-3964875.0,-2.64,-113.77 Cr,22911400.0,-20.06,0.16,146246900,-3964875,-2.64,0.6,45.9,-1.52,16.25 - 76.78,34.85 / 37.67 / 39.57,48.98,93.93,31.71,21.85,16,,,,,,280.0,2614.0,-127.0,2.42,NO
EXIDEIND,436.75,4.33,14.8,3.51,-3.22,-9.51,-104.0,-0.82,0.09,17.65,197,1.77,1036,18.13,839,436.75,14.8,3.51,22546800.0,-187200.0,-0.82,-8.18 Cr,13199400.0,509.05,3.51,22546800,-187200,-0.82,0.6,30.65,-9.51,14.28 - 44.41,23.68 / 44.05 / 40.81,54.33,67.61,29.43,-30.42,-24.9,450.0,1128.0,12.0,3.03,NO,,,,,
FEDERALBNK,349.2,3.43,20.65,6.29,-8.81,-26.49,-406.0,-1.2,0.37,62.71,3036,24.2,7478,100.28,4442,349.2,20.65,6.29,83887500.0,-1015000.0,-1.2,-35.44 Cr,71680000.0,614.48,6.29,83887500,-1015000,-1.2,0.96,24.45,-26.49,14.33 - 39.41,44.74 / 33.93 / 31.20,40.35,53.04,-45.35,-27.94,-21.63,350.0,2265.0,1382.0,0.23,YES,,,,,
FINNIFTY,26923.1,2.2,259.5,0.97,0.37,2.38,-65.0,-13.03,0.33,57.89,-342,-5.68,1675,49.11,2017,26923.1,259.5,0.97,26040.0,-3900.0,-13.03,-10.50 Cr,11280.0,46.88,0.97,26040,-3900,-13.03,0.9,15.89,2.38,0.00 - 40.02,21.93 / 18.13 / 19.71,39.71,69.23,-27.54,-12.36,-19.38,27500.0,1022.0,17.0,2.14,NO,,,,,
FOCIT,35142.0,4.07,27.0,0.08,-2.5,-8.75,-22.0,-12.43,-0.11,-5.5,65,8.06,41,2.55,-24,35142.0,,,,,,,,,0.08,6975,-990,-12.43,1.89,26.06,-8.75,20.88 - 29.42,- / - / -,60.66,28.57,-,-,-,,,,,,,,,,
FORCEMOT,18271.0,5.7,-240.0,-1.3,-6.09,-13.16,-114.0,-1.22,-0.02,-3.45,12,0.17,-147,-3.64,-159,18271.0,-240.0,-1.3,231700.0,-2850.0,-1.22,-5.21 Cr,30325.0,1.85,-1.3,231700,-2850,-1.22,0.56,40.19,-13.16,27.58 - 72.76,45.63 / 51.16 / 51.89,27.91,4.11,-11.92,-21.44,-22.55,,,,,,,,,,
FORTIS,952.5,3.42,-11.3,-1.17,-0.57,-2.26,52.0,0.34,0.04,9.09,-393,-9.69,-15,-0.84,378,952.5,-11.3,-1.17,11955925.0,40300.0,0.34,3.84 Cr,1014475.0,107.78,-1.17,11955925,40300,0.34,0.48,24.62,-2.26,14.13 - 45.46,26.01 / 25.06 / 25.89,33.48,32.79,-5.34,-1.76,-4.91,,,,,,,,,,
GAIL,171.26,3.71,-0.46,-0.27,-2.13,-7.37,-110.0,-0.52,-0.01,-1.64,-52,-0.62,-75,-1.48,-23,171.26,-0.46,-0.27,74883700.0,-390500.0,-0.52,-6.69 Cr,4441050.0,3.82,-0.27,74883700,-390500,-0.52,0.6,26.78,-7.37,14.03 - 47.98,24.79 / 23.00 / 24.20,37.56,71.26,8.03,16.43,10.66,,,,,,,,,,
GLENMARK,2237.7,3.73,-57.7,-2.51,0.01,0.04,602.0,1.99,0.01,1.69,294,5.11,236,6.9,-58,2237.7,-57.7,-2.51,11586375.0,225750.0,1.99,50.52 Cr,916125.0,226.17,-2.51,11586375,225750,1.99,0.6,26.92,0.04,12.27 - 43.60,29.13 / 27.80 / 26.66,46.76,42.51,-7.59,-3.17,0.98,2300.0,1007.0,12.0,2.78,NO,2200.0,816.0,82.0,1.68,NO
GMRAIRPORT,110.84,3.97,-1.18,-1.05,-1.12,-3.76,52.0,0.3,0.01,1.85,-122,-1.39,-34,-0.72,88,110.84,-1.18,-1.05,120772125.0,362700.0,0.3,4.02 Cr,6751800.0,-50.96,-1.05,120772125,362700,0.3,0.55,28.63,-3.76,13.31 - 51.55,30.61 / 27.35 / 30.46,40.06,54.66,-6.47,4.68,-6.01,,,,,,110.0,789.0,17.0,0.76,NO
GODFRYPHLP,2116.0,4.08,-13.9,-0.65,-4.54,-13.38,13.0,0.2,0,0,33,1.28,38,2.61,5,2116.0,-13.9,-0.65,1798500.0,3575.0,0.2,75.65 L,102300.0,-55.77,-0.65,1798500,3575,0.2,0.57,29.38,-13.38,18.97 - 74.83,24.12 / 22.03 / 31.86,18.64,4.11,21.81,33.36,-7.78,,,,,,,,,,
GODREJCP,1072.6,3.28,13.8,1.3,-1.1,-4.45,-155.0,-0.72,0.02,3.23,-217,-3.96,-52,-1.53,165,1072.6,13.8,1.3,10742000.0,-77500.0,-0.72,-8.31 Cr,382500.0,-17.3,1.3,10742000,-77500,-0.72,0.64,23.64,-4.45,13.17 - 36.40,26.02 / 29.49 / 28.02,45.07,46.15,-9.15,-19.84,-15.63,1100.0,1150.0,-150.0,2.55,NO,,,,,
GODREJPROP,2091.1,4.52,3.2,0.15,-0.53,-1.6,-797.0,-3.33,0.04,4.88,-497,-4.3,102,1.08,599,2091.1,3.2,0.15,7522450.0,-259025.0,-3.33,-54.16 Cr,1104350.0,111.45,0.15,7522450,-259025,-3.33,0.86,32.52,-1.6,16.43 - 55.87,47.03 / 40.27 / 42.91,40.8,55.06,-30.85,-19.25,-24.21,,,,,,,,,,
GRASIM,3114.6,3.06,34.3,1.11,-1.49,-6.32,-1140.0,-2.35,0.03,7.14,-1575,-10.36,-250,-3.96,1325,3114.6,34.3,1.11,11853000.0,-285000.0,-2.35,-88.77 Cr,758500.0,52.46,1.11,11853000,-285000,-2.35,0.45,22.1,-6.32,11.82 - 35.51,25.39 / 21.25 / 20.41,43.39,65.99,-12.96,4,8.28,,,,,,3100.0,603.0,-128.0,0.47,YES
GVT&D,4390.9,5.63,-195.6,-4.26,-2.11,-4.94,804.0,6.51,-0.02,-3.39,1754,20.32,882,17.4,-872,4390.9,-195.6,-4.26,1643250.0,100500.0,6.51,44.13 Cr,427375.0,7.31,-4.26,1643250,100500,6.51,0.57,40.64,-4.94,40.45 - 59.36,60.13 / 66.82 / 68.39,1.0,2.78,-32.41,-39.18,-40.58,,,,,,4300.0,1053.0,37.0,2.07,NO
HAL,4506.0,3.8,70.2,1.58,-0.95,-3.34,-2521.0,-7.5,0.03,4.84,33,0.17,660,5.5,627,4506.0,70.2,1.58,4660950.0,-378150.0,-7.5,-170.39 Cr,825750.0,218.76,1.58,4660950,-378150,-7.5,0.65,27.48,-3.34,14.47 - 53.21,24.54 / 24.82 / 28.31,33.58,52.63,11.98,10.72,-2.93,,,,,,4400.0,2320.0,109.0,2.35,NO
HAVELLS,1190.2,3.93,15.6,1.33,-10.8,-27.6,-268.0,-1.37,0.08,13.11,1466,11.49,2043,26.29,577,1190.2,15.6,1.33,9637500.0,-134000.0,-1.37,-15.95 Cr,10568000.0,243.51,1.33,9637500,-134000,-1.37,0.69,28.33,-27.6,11.54 - 42.97,29.70 / 26.41 / 26.26,53.42,76.52,-4.61,7.27,7.88,1200.0,2882.0,117.0,0.82,NO,1180.0,1191.0,270.0,0.86,NO
HCLTECH,1202.7,3.55,29.1,2.48,-3.14,-10.91,-3978.0,-4.56,0.13,28.26,-9146,-18.02,1384,5.94,10530,1202.7,29.1,2.48,33276000.0,-1591200.0,-4.56,-191.37 Cr,5078400.0,7.02,2.48,33276000,-1591200,-4.56,0.59,25.64,-10.91,6.26 - 40.81,49.23 / 52.59 / 45.61,56.09,57.89,-47.92,-51.25,-43.78,,,,,,1200.0,2296.0,1121.0,0.22,YES
HDFCAMC,2659.5,4.24,55.4,2.13,-2.63,-7.92,-1539.0,-6.8,0.11,20.75,-3170,-19.36,-260,-2.98,2910,2659.5,55.4,2.13,6328500.0,-461700.0,-6.8,-122.79 Cr,1586100.0,-47.09,2.13,6328500,-461700,-6.8,0.64,30.58,-7.92,12.58 - 45.32,53.45 / 43.76 / 47.29,54.98,79.35,-42.79,-30.12,-35.34,,,,,,2600.0,1045.0,-25.0,2.24,NO
HDFCBANK,819.9,3.38,9.15,1.13,-0.33,-1.33,-5357.0,-1.26,0.01,1.85,4423,3.04,3568,4.56,-855,819.9,9.15,1.13,271893700.0,-3482050.0,-1.26,-285.49 Cr,24870950.0,88.71,1.13,271893700,-3482050,-1.26,0.55,24.41,-1.33,9.44 - 39.01,31.40 / 27.62 / 27.23,50.63,82.59,-22.26,-11.62,-10.36,820.0,19218.0,1381.0,0.01,YES,800.0,14008.0,95.0,2.43,NO
HDFCLIFE,563.75,3.4,-4.35,-0.77,-1.89,-7.17,-305.0,-0.8,0,0,-1920,-9.03,-1141,-8.79,779,563.75,-4.35,-0.77,41815400.0,-335500.0,-0.8,-18.91 Cr,5490100.0,-56.51,-0.77,41815400,-335500,-0.8,0.61,24.47,-7.17,8.35 - 36.02,38.92 / 28.56 / 32.28,58.26,78.54,-37.13,-14.32,-24.19,,,,,,,,,,
HEROMOTOCO,4835.2,3.71,9.7,0.2,-1.53,-5.41,28.0,0.08,-0.01,-2.13,515,1.97,47,0.38,-468,4835.2,9.7,0.2,5429700.0,4200.0,0.08,2.03 Cr,540600.0,43.24,0.2,5429700,4200,0.08,0.46,26.77,-5.41,12.96 - 41.20,22.31 / 19.50 / 20.66,48.9,63.56,19.99,37.28,29.57,,,,,,,,,,
HINDALCO,945.35,3.79,-17.75,-1.84,-1.94,-6.67,552.0,0.75,-0.02,-3.92,746,2.78,-191,-1.4,-937,945.35,-17.75,-1.84,52138800.0,386400.0,0.75,36.53 Cr,5397700.0,39.95,-1.84,52138800,386400,0.75,0.49,27.15,-6.67,10.16 - 46.60,26.31 / 26.12 / 31.13,46.62,57.49,3.19,3.94,-12.79,,,,,,,,,,
HINDPETRO,401.5,4.67,0.8,0.2,-1.76,-4.96,263.0,1.34,-0.01,-1.33,-70,-0.76,-70,-1.01,0,401.5,0.8,0.2,40277250.0,532575.0,1.34,21.38 Cr,6119550.0,22.9,0.2,40277250,532575,1.34,0.74,33.73,-4.96,16.66 - 55.76,38.20 / 41.21 / 45.56,43.66,70.85,-11.7,-18.15,-25.97,,,,,,,,,,
HINDUNILVR,2150.2,3.07,43.5,2.06,-1.53,-6.47,-276.0,-0.44,0.04,5.97,-2174,-8.04,-328,-1.81,1846,2150.2,43.5,2.06,18585300.0,-82800.0,-0.44,-17.80 Cr,1925400.0,42.09,2.06,18585300,-82800,-0.44,0.71,22.11,-6.47,0.36 - 32.27,26.36 / 25.91 / 25.75,68.16,78.14,-16.12,-14.67,-14.14,2200.0,4973.0,-209.0,2.32,NO,2100.0,2240.0,-41.0,2.33,NO
HINDZINC,518.15,4.51,-5.75,-1.1,-2.24,-6.45,-672.0,-2.76,0.01,2.13,-490,-2.58,-64,-0.72,426,518.15,-5.75,-1.1,29000650.0,-823200.0,-2.76,-42.65 Cr,2365475.0,47.74,-1.1,29000650,-823200,-2.76,0.48,32.49,-6.45,15.38 - 59.92,18.11 / 34.19 / 38.84,38.41,49.39,79.4,-4.97,-16.35,,,,,,,,,,
HYUNDAI,1980.4,3.88,-30.2,-1.5,-3.49,-11.09,-1118.0,-6.52,0.02,3.77,22,0.27,203,4.7,181,1980.4,-30.2,-1.5,4406325.0,-307450.0,-6.52,-60.89 Cr,2164525.0,13.11,-1.5,4406325,-307450,-6.52,0.55,27.97,-11.09,19.09 - 57.66,36.77 / 34.66 / 33.50,23.02,10.96,-23.93,-19.3,-16.51,,,,,,,,,,
ICICIBANK,1449.1,3.7,26.1,1.83,1.87,7.55,1464.0,0.98,0.02,2.22,5779,17.98,6099,21.14,320,1449.1,26.1,1.83,105081200.0,1024800.0,0.98,148.50 Cr,21343000.0,153.37,1.83,105081200,1024800,0.98,0.92,26.63,7.55,9.59 - 33.61,23.42 / 21.64 / 21.22,70.94,95.55,13.71,23.06,25.49,,,,,,,,,,
ICICIGI,1608.1,3.78,-12.5,-0.77,-3.62,-11.75,1086.0,5.8,-0.1,-15.15,-180,-1.2,-1620,-16.49,-1440,1608.1,-12.5,-0.77,6438250.0,352950.0,5.8,56.76 Cr,1804400.0,-74.89,-0.77,6438250,352950,5.8,0.56,27.2,-11.75,13.70 - 37.84,68.11 / 50.02 / 46.89,55.92,89.07,-60.06,-45.62,-41.99,,,,,,1600.0,902.0,-367.0,0.5,NO
ICICIPRULI,498.8,4,-10.3,-2.02,-0.41,-1.4,360.0,1.65,-0.12,-18.18,2022,17.74,-202,-2.7,-2224,498.8,-10.3,-2.02,20512800.0,333000.0,1.65,16.61 Cr,4127350.0,-42.93,-2.02,20512800,333000,1.65,0.54,28.81,-1.4,12.98 - 41.12,52.60 / 43.13 / 42.78,56.25,82.59,-45.23,-33.2,-32.66,,,,,,,,,,
IDEA,13.78,5.65,-0.17,-1.22,0.62,1.59,-2784.0,-3.53,0.01,2.33,-530,-2.43,13,0.14,543,13.78,-0.17,-1.22,5441320275.0,-198986400.0,-3.53,-274.20 Cr,439356825.0,65.69,-1.22,5441320275,-198986400,-3.53,0.44,39.66,1.59,19.52 - 105.00,23.46 / 25.70 / 34.89,23.56,14.17,69.05,54.32,13.67,,,,,,,,,,
IDFCFIRSTB,80.44,4.68,0.94,1.18,1.52,4.71,-42.0,-0.11,0.05,6.02,131,1.35,630,7.85,499,80.44,0.94,1.18,360343025.0,-389550.0,-0.11,-3.13 Cr,31822525.0,91.68,1.18,360343025,-389550,-0.11,0.88,33.77,4.71,13.50 - 90.98,31.27 / 28.96 / 32.51,26.16,80.16,7.99,16.61,3.88,,,,,,80.0,1742.0,115.0,0.55,NO
IEX,122.86,5.26,-2.2,-1.76,-1.09,-2.79,-77.0,-0.43,-0.01,-1.37,-165,-2.43,-177,-3.58,-12,122.86,-2.2,-1.76,78334800.0,-334950.0,-0.43,-4.12 Cr,7029600.0,-53.23,-1.76,78334800,-334950,-0.43,0.72,38.02,-2.79,19.27 - 213.32,48.09 / 35.34 / 34.19,9.66,78.95,-20.94,7.58,11.2,125.0,1103.0,-9.0,1.74,NO,120.0,969.0,-76.0,2.33,NO
INDHOTEL,728.0,4.51,-6.0,-0.82,0.91,2.88,1407.0,5.36,-0.05,-7.25,360,6.12,-44,-1.08,-404,728.0,-6.0,-0.82,27665000.0,1407000.0,5.36,102.43 Cr,4659000.0,29.27,-0.82,27665000,1407000,5.36,0.64,32.51,2.88,12.12 - 41.83,35.06 / 28.92 / 29.22,68.63,95.14,-7.27,12.41,11.26,750.0,813.0,82.0,3.02,NO,720.0,489.0,-36.0,1.1,NO
INDIANB,832.7,4.17,10.7,1.3,-1.61,-5.08,-285.0,-1.63,0.05,8.06,-1084,-8.25,-92,-1.13,992,832.7,10.7,1.3,17147000.0,-285000.0,-1.63,-23.73 Cr,2162000.0,41.68,1.3,17147000,-285000,-1.63,0.67,30.09,-5.08,17.18 - 45.58,70.22 / 51.57 / 49.03,45.46,52.23,-57.15,-41.65,-38.63,,,,,,,,,,
INDIGO,5249.0,4.42,-19.0,-0.36,2.22,7.48,-1303.0,-3.01,-0.07,-8.43,2085,10,171,0.99,-1914,5249.0,-19.0,-0.36,6290550.0,-195450.0,-3.01,-102.59 Cr,658650.0,31.23,-0.36,6290550,-195450,-3.01,0.76,31.91,7.48,11.28 - 86.94,42.22 / 43.74 / 44.90,27.27,78.54,-24.42,-27.05,-28.93,5300.0,3956.0,887.0,0.97,NO,5200.0,2381.0,113.0,0.93,NO
INDUSINDBK,1026.65,5.42,12.6,1.24,2.55,6.99,366.0,0.72,-0.11,-12.79,2326,18.67,360,3.37,-1966,1026.65,12.6,1.24,35821100.0,256200.0,0.72,26.30 Cr,5145700.0,172.26,1.24,35821100,256200,0.72,0.75,39.02,6.99,17.32 - 83.38,34.46 / 34.39 / 36.16,32.85,90.69,13.23,13.46,7.91,1030.0,3156.0,2460.0,0.33,YES,1000.0,1854.0,78.0,2.6,NO
INDUSTOWER,404.5,4.06,-2.75,-0.68,0.4,1.38,-201.0,-0.35,0.02,2.78,-152,-1.06,79,0.76,231,404.5,-2.75,-0.68,98300800.0,-341700.0,-0.35,-13.82 Cr,4863700.0,-23.65,-0.68,98300800,-341700,-0.35,0.74,29.33,1.38,15.67 - 75.07,23.55 / 24.82 / 23.65,23.0,63.97,24.54,18.17,24.02,410.0,2991.0,122.0,1.36,NO,,,,,
INFY,1090.0,4.75,8.4,0.78,0.53,1.57,-4651.0,-1.65,0.05,7.35,-762,-0.55,6483,6.93,7245,1090.0,8.4,0.78,110979600.0,-1860400.0,-1.65,-202.78 Cr,20316800.0,79.65,0.78,110979600,-1860400,-1.65,0.73,34.29,1.57,7.21 - 64.15,33.31 / 52.65 / 46.40,47.56,84.21,2.94,-34.87,-26.1,1100.0,28633.0,780.0,0.92,NO,,,,,
INOXWIND,78.36,4.81,-0.55,-0.7,-1.49,-4.12,-118.0,-0.72,0.05,12.5,-966,-9.87,122,3.15,1088,78.36,-0.55,-0.7,104672000.0,-755200.0,-0.72,-5.92 Cr,8595200.0,-6.93,-0.7,104672000,-755200,-0.72,0.45,34.65,-4.12,16.48 - 63.54,28.18 / 31.46 / 46.41,38.61,36.84,22.96,10.14,-25.34,,,,,,,,,,
IOC,141.86,3.4,-0.13,-0.09,-2.22,-8.31,359.0,1.19,-0.01,-1.54,153,1.1,-51,-0.57,-204,141.86,-0.13,-0.09,148741125.0,1750125.0,1.19,24.83 Cr,7624500.0,-51.49,-0.09,148741125,1750125,1.19,0.64,24.51,-8.31,11.74 - 55.58,30.07 / 29.85 / 33.71,29.13,45.75,-18.49,-17.89,-27.29,,,,,,140.0,1093.0,-37.0,1.31,NO
IREDA,119.76,4.63,-0.2,-0.17,-0.42,-1.24,229.0,1.67,0,0,-127,-1.79,-31,-0.74,96,119.76,-0.2,-0.17,63046825.0,1036225.0,1.67,12.41 Cr,6339525.0,30.45,-0.17,63046825,1036225,1.67,0.59,33.46,-1.24,18.63 - 52.88,36.36 / 31.60 / 33.23,43.3,46.15,-7.98,5.89,0.69,,,,,,,,,,
IRFC,88.54,4.25,0.29,0.33,-0.61,-1.96,-280.0,-1.68,0,0,-183,-1.25,-215,-2.56,-32,88.54,0.29,0.33,88948300.0,-1519000.0,-1.68,-13.45 Cr,9092300.0,24.7,0.33,88948300,-1519000,-1.68,0.57,30.59,-1.96,17.59 - 45.57,23.14 / 32.71 / 33.32,46.46,49.39,32.2,-6.48,-8.19,,,,,,,,,,
ITC,281.45,2.54,1.6,0.57,-1.22,-6.34,-707.0,-0.87,0.01,1.54,-1026,-2.07,-118,-0.37,908,281.45,1.6,0.57,138388125.0,-1219575.0,-0.87,-34.32 Cr,11305650.0,14.64,0.57,138388125,-1219575,-0.87,0.66,18.03,-6.34,6.61 - 30.11,21.64 / 17.33 / 16.68,48.6,63.56,-16.68,4.04,8.09,290.0,8625.0,81.0,3.04,NO,280.0,3609.0,387.0,0.52,NO
JINDALSTEL,1025.9,4.65,-5.1,-0.49,-0.4,-1.18,62.0,0.28,0.02,3.08,-267,-3.37,-23,-0.45,244,1025.9,-5.1,-0.49,13985000.0,38750.0,0.28,3.98 Cr,794375.0,-18.47,-0.49,13985000,38750,0.28,0.67,33.45,-1.18,16.51 - 43.23,27.99 / 32.83 / 30.26,63.4,91.5,19.51,1.89,10.54,,,,,,,,,,
