Symbol,CMP,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Price,Price chg,Price chg (%),OI,OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%),Price Chg (%),Total OI,Total OI Chg,Total OI Chg (%),PCR,IV,IV Chg (%),IV Range (1Yr),HV (10/20/30 Days),IVR,IVP,IV/HV10 %,IV/HV20 %,IV/HV30 %,Resistance Strike,Resistance Call OI,Resistance Call OI Chg,Resistance Distance %,Near Resistance,Support Strike,Support Put OI,Support Put OI Chg,Support Distance %,Near Support
JIOFIN,243.11,3.89,7.44,3.16,-5.58,-16.6,-3257.0,-4.87,-0.1,-15.62,12970,44.78,4148,22.5,-8822,243.11,7.44,3.16,149427100.0,-7653950.0,-4.87,-186.08 Cr,66770550.0,440.99,3.16,149427100,-7653950,-4.87,0.54,28.04,-16.6,16.26 - 47.21,49.77 / 36.86 / 36.71,38.06,58.3,-43.66,-23.93,-23.62,250.0,10476.0,5139.0,2.83,NO,240.0,3076.0,762.0,1.28,NO
JSWENERGY,541.75,4.8,-3.6,-0.66,0.43,1.26,110.0,0.46,0.04,6.78,780,8.5,860,15.79,80,541.75,-3.6,-0.66,25583925.0,118250.0,0.46,6.41 Cr,1845775.0,-31.27,-0.66,25583925,118250,0.46,0.63,34.67,1.26,13.33 - 46.66,28.72 / 30.57 / 28.96,64.03,83.81,20.72,13.41,19.72,,,,,,540.0,809.0,19.0,0.32,YES
JSWSTEEL,1239.9,3.78,14.3,1.17,-2.08,-7.1,-64.0,-0.11,-0.06,-8.33,3258,36.73,1587,24.85,-1671,1239.9,14.3,1.17,40296825.0,-43200.0,-0.11,-5.36 Cr,5108400.0,326.37,1.17,40296825,-43200,-0.11,0.66,27.22,-7.1,14.75 - 40.61,24.27 / 22.45 / 22.00,48.22,75.3,12.15,21.25,23.73,,,,,,,,,,
JUBLFOOD,419.0,4.48,-3.05,-0.72,-2.7,-7.71,217.0,1.43,0.03,4.92,-208,-2.13,167,2.82,375,419.0,-3.05,-0.72,19285000.0,271250.0,1.43,11.37 Cr,2431250.0,103.03,-0.72,19285000,271250,1.43,0.64,32.33,-7.71,13.88 - 59.12,52.79 / 42.95 / 38.72,40.78,71.26,-38.76,-24.73,-16.5,,,,,,,,,,
KALYANKJIL,573.75,7.86,26.65,4.87,-1.64,-2.81,-680.0,-2.75,0.04,2.58,19,0.07,1246,2.81,1227,573.75,26.65,4.87,32521500.0,-918000.0,-2.75,-52.67 Cr,18577350.0,22.86,4.87,32521500,-918000,-2.75,1.59,56.65,-2.81,17.49 - 72.39,125.52 / 98.27 / 94.78,71.33,97.17,-54.87,-42.35,-40.23,,,,,,,,,,
KAYNES,3372.5,4.72,-57.0,-1.66,-7.77,-25,-198.0,-0.75,0,0,-123,-1.43,-23,-0.48,100,3372.5,-57.0,-1.66,3916500.0,-29700.0,-0.75,-10.02 Cr,50850.0,-51.08,-1.66,3916500,-29700,-0.75,0.56,23.31,-25,19.42 - 91.42,57.03 / 53.60 / 50.34,5.4,2.02,-59.13,-56.51,-53.69,,,,,,,,,,
KEI,4876.0,5.3,-159.0,-3.16,-2.72,-6.99,397.0,3.32,-0.07,-14,1173,22.6,103,3.95,-1070,4876.0,-159.0,-3.16,2163700.0,69475.0,3.32,33.88 Cr,525525.0,11.97,-3.16,2163700,69475,3.32,0.43,36.19,-6.99,14.61 - 51.38,32.06 / 34.84 / 41.31,58.69,78.95,12.88,3.87,-12.39,,,,,,,,,,
KFINTECH,889.55,5.6,19.15,2.2,-1.87,-4.42,-238.0,-2.45,0.05,8.06,-531,-7.95,-28,-0.67,503,889.55,19.15,2.2,5447550.0,-136850.0,-2.45,-12.17 Cr,1285700.0,-16.6,2.2,5447550,-136850,-2.45,0.67,40.45,-4.42,18.49 - 90.49,46.61 / 35.53 / 40.25,30.5,78.14,-13.22,13.85,0.5,900.0,1072.0,-138.0,1.17,NO,,,,,
KOTAKBANK,390.9,3.98,13.2,3.49,-0.74,-2.51,-1365.0,-1.73,0.06,11.32,50,0.15,2156,11.96,2106,390.9,13.2,3.49,155298000.0,-2730000.0,-1.73,-106.72 Cr,37750000.0,354.05,3.49,155298000,-2730000,-1.73,0.59,28.73,-2.51,9.59 - 40.23,42.90 / 35.25 / 31.74,62.47,88.66,-33.03,-18.5,-9.48,400.0,6690.0,238.0,2.33,NO,390.0,2890.0,955.0,0.23,YES
KPITTECH,555.6,5.21,3.25,0.59,-3.59,-8.79,-236.0,-1.23,-0.01,-2.17,-960,-3.98,-622,-5.62,338,555.6,3.25,0.59,14636650.0,-182900.0,-1.23,-10.16 Cr,1680975.0,16.99,0.59,14636650,-182900,-1.23,0.45,37.24,-8.79,12.07 - 69.90,31.72 / 80.01 / 67.55,43.52,64.78,17.4,-53.46,-44.87,,,,,,,,,,
LAURUSLABS,1531.0,4.88,-28.8,-1.85,-0.02,-0.06,-257.0,-1.4,-0.03,-4.17,-430,-5.05,-514,-8.42,-84,1531.0,-28.8,-1.85,15337400.0,-218450.0,-1.4,-33.44 Cr,2010250.0,88.15,-1.85,15337400,-218450,-1.4,0.69,35.22,-0.06,14.20 - 46.75,34.02 / 36.76 / 34.80,64.58,80.57,3.53,-4.19,1.21,,,,,,1500.0,735.0,-127.0,2.02,NO
LICHSGFIN,550.9,3.26,3.9,0.71,-1.82,-7.17,-362.0,-1.65,0.04,6.9,-116,-1.68,211,5.28,327,550.9,3.9,0.71,21558000.0,-362000.0,-1.65,-19.94 Cr,1470000.0,22.3,0.71,21558000,-362000,-1.65,0.62,23.57,-7.17,11.15 - 45.09,24.24 / 22.61 / 27.57,36.59,49.39,-2.76,4.25,-14.51,,,,,,,,,,
LICI,432.9,3.73,-1.75,-0.4,-0.97,-3.48,-243.0,-1.59,0,0,93,1.15,55,1.02,-38,432.9,-1.75,-0.4,21056000.0,-340200.0,-1.59,-14.73 Cr,4509400.0,101.56,-0.4,21056000,-340200,-1.59,0.67,26.93,-3.48,11.05 - 49.26,26.08 / 26.76 / 28.10,41.56,74.9,3.26,0.64,-4.16,,,,,,430.0,862.0,-39.0,0.67,NO
LODHA,1177.95,5.29,5.8,0.49,0.3,0.79,428.0,1.76,0.04,4.65,-217,-2.64,137,1.94,354,1177.95,5.8,0.49,15485000.0,267500.0,1.76,31.51 Cr,1509375.0,-0.7,0.49,15485000,267500,1.76,0.9,38.15,0.79,19.11 - 64.99,56.91 / 48.25 / 46.81,41.5,74.49,-32.96,-20.93,-18.5,1200.0,857.0,-66.0,1.87,NO,,,,,
LT,3823.1,2.77,40.1,1.06,-1.98,-9.19,-386.0,-0.49,0,0,-250,-0.3,104,0.3,354,3823.1,40.1,1.06,13796125.0,-67550.0,-0.49,-25.83 Cr,1556975.0,-12.26,1.06,13796125,-67550,-0.49,0.42,19.56,-9.19,7.49 - 44.73,25.22 / 19.60 / 28.27,32.41,58.3,-22.44,-0.2,-30.81,,,,,,,,,,
LTF,308.35,4.74,-0.9,-0.29,-2.25,-6.23,29.0,0.13,-0.01,-2.04,-280,-1.82,-192,-2.55,88,308.35,-0.9,-0.29,49990500.0,65250.0,0.13,2.01 Cr,4164750.0,-21.83,-0.29,49990500,65250,0.13,0.48,33.89,-6.23,18.80 - 69.14,47.63 / 43.82 / 51.42,29.98,64.78,-28.85,-22.66,-34.09,,,,,,300.0,1349.0,196.0,2.71,NO
LTM,4092.0,4.39,12.6,0.31,-4.46,-12.35,5.0,0.02,0.08,13.11,-2609,-15.16,-563,-5.33,2046,4092.0,12.6,0.31,3590850.0,750.0,0.02,30.69 L,498750.0,24.07,0.31,3590850,750,0.02,0.69,31.64,-12.35,24.10 - 57.18,- / - / -,22.79,15.05,-,-,-,4200.0,1768.0,-57.0,2.64,NO,4000.0,1035.0,-28.0,2.25,NO
LUPIN,2448.9,2.91,-41.1,-1.65,0.26,1.26,207.0,1.72,-0.08,-10.13,457,8.41,-93,-2.16,-550,2448.9,-41.1,-1.65,5212200.0,87975.0,1.72,21.54 Cr,739075.0,65.94,-1.65,5212200,87975,1.72,0.71,20.89,1.26,12.85 - 37.30,22.34 / 25.30 / 23.21,32.88,27.13,-6.49,-17.43,-10,2500.0,1075.0,74.0,2.09,NO,,,,,
M&M,3179.2,3.24,55.2,1.77,-2.37,-9.19,-2314.0,-2.84,0.03,4.62,-874,-2.4,644,2.73,1518,3179.2,55.2,1.77,15829600.0,-462800.0,-2.84,-147.13 Cr,1988400.0,17.78,1.77,15829600,-462800,-2.84,0.68,23.41,-9.19,11.90 - 69.36,32.31 / 34.55 / 32.48,20.03,38.87,-27.55,-32.24,-27.92,3200.0,5812.0,233.0,0.65,NO,3100.0,3591.0,250.0,2.49,NO
MANAPPURAM,326.45,4.64,-0.15,-0.05,-1.12,-3.23,656.0,3.64,0,0,-13,-0.37,11,0.51,24,326.45,-0.15,-0.05,56037000.0,1968000.0,3.64,64.25 Cr,7851000.0,113.46,-0.05,56037000,1968000,3.64,0.62,33.54,-3.23,18.17 - 52.52,47.72 / 41.65 / 48.08,44.75,63.56,-29.72,-19.47,-30.24,330.0,664.0,148.0,1.09,NO,,,,,
MANKIND,2490.6,3.93,-65.4,-2.56,-1.47,-4.92,263.0,2.26,-0.09,-16.98,312,5.08,-421,-13.03,-733,2490.6,-65.4,-2.56,2979500.0,65750.0,2.26,16.38 Cr,497250.0,39.19,-2.56,2979500,65750,2.26,0.44,28.4,-4.92,16.24 - 89.23,22.59 / 33.13 / 28.56,16.66,55.06,25.72,-14.28,-0.56,,,,,,,,,,
MARICO,842.75,2.57,0.8,0.1,-0.3,-1.45,-213.0,-1.91,0.02,3.45,-480,-7.13,-117,-3.01,363,842.75,0.8,0.1,13149600.0,-255600.0,-1.91,-21.54 Cr,2872800.0,118.03,0.1,13149600,-255600,-1.91,0.6,20.34,-1.45,13.08 - 31.88,19.95 / 20.77 / 19.97,38.62,51.42,1.95,-2.07,1.85,,,,,,,,,,
MARUTI,13803.0,3.09,17.0,0.12,-1.63,-6.8,340.0,0.76,0,0,5,0.01,39,0.13,34,13803.0,17.0,0.12,2266550.0,17000.0,0.76,23.47 Cr,250150.0,-32.61,0.12,2266550,17000,0.76,0.49,22.33,-6.8,6.97 - 41.98,31.95 / 39.34 / 35.59,43.87,70.85,-30.11,-43.24,-37.26,,,,,,,,,,
MAXHEALTH,1088.7,3.57,-13.1,-1.19,-1.49,-5.48,200.0,1.01,0.03,7.14,-369,-3.4,168,3.69,537,1088.7,-13.1,-1.19,10492650.0,105000.0,1.01,11.43 Cr,1225875.0,53.11,-1.19,10492650,105000,1.01,0.45,25.72,-5.48,16.74 - 60.69,25.85 / 32.00 / 35.80,20.43,36.03,-0.5,-19.63,-28.16,,,,,,,,,,
MAZDOCK,2341.4,4.68,-7.5,-0.32,-1.77,-5.04,-4.0,-0.02,-0.02,-3.39,726,4.83,10,0.11,-716,2341.4,-7.5,-0.32,4990500.0,-900.0,-0.02,-21.07 L,421650.0,8.51,-0.32,4990500,-900,-0.02,0.57,33.37,-5.04,13.38 - 82.60,32.29 / 28.35 / 32.04,28.88,38.06,3.34,17.71,4.15,,,,,,2300.0,1613.0,-33.0,1.77,NO
MCX,2759.2,4.96,-68.9,-2.44,-1.25,-3.37,898.0,2.69,-0.07,-10.77,1983,7.01,-646,-3.53,-2629,2759.2,-68.9,-2.44,7704675.0,202050.0,2.69,55.75 Cr,1471050.0,-0.59,-2.44,7704675,202050,2.69,0.58,35.79,-3.37,15.54 - 62.68,50.90 / 48.55 / 44.47,42.96,50.61,-29.69,-26.28,-19.52,,,,,,,,,,
MFSL,1543.0,3.9,-36.3,-2.3,0.25,0.89,6.0,0.03,-0.01,-1.75,432,11.29,172,7.83,-260,1543.0,-36.3,-2.3,8708000.0,2400.0,0.03,37.03 L,622400.0,32.2,-2.3,8708000,2400,0.03,0.56,28.19,0.89,9.89 - 39.49,39.45 / 32.77 / 35.22,61.82,68.02,-28.54,-13.98,-19.96,,,,,,1500.0,635.0,-116.0,2.79,NO
MIDCPNIFTY,14740.6,2.08,-53.45,-0.36,0.45,3.09,482.0,2.99,-0.07,-6.8,5047,9.92,1206,2.3,-3841,14740.6,-53.45,-0.36,1990080.0,57840.0,2.99,85.26 Cr,330960.0,47.8,-0.36,1990080,57840,2.99,0.96,15.02,3.09,9.53 - 42.98,17.45 / 13.94 / 17.60,16.41,32.39,-13.93,7.75,-14.66,15000.0,6509.0,198.0,1.76,NO,,,,,
MOTHERSON,144.63,4.6,0.5,0.35,-2.78,-7.72,-205.0,-0.83,-0.01,-1.54,-140,-1.46,-202,-3.25,-62,144.63,0.5,0.35,149777100.0,-1260750.0,-0.83,-18.23 Cr,12976500.0,-50.47,0.35,149777100,-1260750,-0.83,0.64,33.23,-7.72,18.24 - 54.43,21.76 / 28.93 / 33.14,41.42,56.28,52.71,14.86,0.27,,,,,,,,,,
MOTILALOFS,970.3,5.35,12.9,1.35,3.68,10.69,69.0,1.01,0.09,25,284,10.06,378,36.91,94,970.3,12.9,1.35,5335100.0,53475.0,1.01,5.19 Cr,810650.0,9.53,1.35,5335100,53475,1.01,0.45,38.12,10.69,22.84 - 51.18,47.60 / 34.29 / 48.78,53.92,65.75,-19.92,11.17,-21.85,,,,,,950.0,280.0,149.0,2.09,NO
MPHASIS,2393.7,5.36,32.6,1.38,-1.9,-4.68,-343.0,-1.92,0.09,16.36,14,0.23,535,16.19,521,2393.7,32.6,1.38,4821300.0,-94325.0,-1.92,-22.58 Cr,694650.0,89.92,1.38,4821300,-94325,-1.92,0.64,38.7,-4.68,18.02 - 47.77,49.59 / 48.71 / 40.76,69.51,86.23,-21.96,-20.55,-5.05,2400.0,785.0,-82.0,0.26,YES,,,,,
MUTHOOTFIN,2988.7,4.5,-11.3,-0.38,-1.38,-4.1,313.0,1.3,0.06,11.54,-187,-1.89,480,9.36,667,2988.7,-11.3,-0.38,6704225.0,86075.0,1.3,25.73 Cr,780725.0,117.55,-0.38,6704225,86075,1.3,0.58,32.26,-4.1,11.92 - 66.80,30.27 / 38.02 / 45.70,37.06,62.35,6.57,-15.15,-29.41,,,,,,,,,,
NAM-INDIA,1184.4,5.24,30.6,2.65,-0.15,-0.4,-67.0,-0.7,0.12,23.53,-161,-4.98,297,18,458,1184.4,30.6,2.65,5941250.0,-41875.0,-0.7,-4.96 Cr,663750.0,-58.19,2.65,5941250,-41875,-0.7,0.63,37.82,-0.4,23.39 - 77.66,45.71 / 38.76 / 45.91,26.59,14.98,-17.26,-2.43,-17.62,1200.0,416.0,21.0,1.32,NO,,,,,
NATIONALUM,340.6,5.05,-15.3,-4.3,1.26,3.58,514.0,2.11,-0.06,-9.09,1072,7.54,-154,-1.64,-1226,340.6,-15.3,-4.3,46687500.0,963750.0,2.11,32.83 Cr,8265000.0,70.13,-4.3,46687500,963750,2.11,0.6,36.49,3.58,17.37 - 66.87,41.37 / 54.91 / 52.46,38.63,68.42,-11.8,-33.55,-30.44,350.0,2110.0,231.0,2.76,NO,340.0,1670.0,-376.0,0.18,YES
NAUKRI,1183.7,4.11,-21.65,-1.8,-2.63,-8.14,-56.0,-0.21,-0.07,-8.14,-106,-0.98,-862,-9.28,-756,1183.7,-21.65,-1.8,14620100.0,-30800.0,-0.21,-3.65 Cr,1825450.0,49.64,-1.8,14620100,-30800,-0.21,0.79,29.66,-8.14,15.66 - 47.35,81.76 / 63.25 / 54.10,44.18,48.58,-63.72,-53.11,-45.18,1200.0,2082.0,194.0,1.38,NO,,,,,
NBCC,97.24,5.24,-0.11,-0.11,-1.22,-3.13,-272.0,-1.62,-0.01,-2.13,135,1.93,11,0.33,-124,97.24,-0.11,-0.11,107315000.0,-1768000.0,-1.62,-17.19 Cr,15710500.0,205.56,-0.11,107315000,-1768000,-1.62,0.46,37.79,-3.13,21.65 - 80.34,44.68 / 34.02 / 42.32,27.5,56.28,-15.42,11.08,-10.7,100.0,1747.0,131.0,2.84,NO,95.0,737.0,-28.0,2.3,NO
NESTLEIND,1428.6,3.87,3.4,0.24,-0.77,-2.69,38.0,0.17,-0.03,-4.29,829,9.05,284,4.43,-545,1428.6,3.4,0.24,10952500.0,19000.0,0.17,2.71 Cr,1059000.0,68.23,0.24,10952500,19000,0.17,0.67,27.81,-2.69,10.62 - 36.15,17.39 / 23.46 / 24.84,67.33,94.74,59.92,18.54,11.96,,,,,,1400.0,982.0,22.0,2.0,NO
NHPC,78.67,3.33,-0.25,-0.32,-1.64,-6.4,518.0,3.37,-0.02,-3.51,-24,-0.22,-232,-3.73,-208,78.67,-0.25,-0.32,110449400.0,3600100.0,3.37,28.32 Cr,11252050.0,-2.35,-0.32,110449400,3600100,3.37,0.55,24.0,-6.4,13.23 - 53.10,15.13 / 24.93 / 26.13,27.01,19.84,58.63,-3.73,-8.15,,,,,,,,,,
NIFTY,24321.7,1.02,225.3,0.93,0.72,5.99,-12332.0,-5.19,0.06,5.61,59536,6.83,114548,12.26,55012,24321.7,225.3,0.93,14630915.0,-801580.0,-5.19,-1949.58 Cr,5343650.0,72.39,0.93,14630915,-801580,-5.19,1.13,12.74,5.99,5.90 - 34.26,17.67 / 14.93 / 15.09,24.12,66.8,-27.9,-14.67,-15.57,25000.0,108706.0,2031.0,2.79,NO,24000.0,107237.0,13301.0,1.32,NO
NIFTYNXT50,71882.6,2.29,-36.2,-0.05,0.01,0.06,-1.0,-0.16,-0.01,-14.29,24,4.99,-1,-3.03,-25,71882.6,-36.2,-0.05,15700.0,-25.0,-0.16,-17.97 L,2300.0,-1.08,-0.05,15700,-25,-0.16,0.06,16.54,0.06,9.05 - 31.76,16.88 / 14.95 / 19.78,32.98,63.16,-2.01,10.64,-16.38,,,,,,,,,,
NMDC,83.49,3.61,-1.04,-1.23,0.16,0.62,48.0,0.09,0.01,1.96,-378,-3.21,-67,-1.11,311,83.49,-1.04,-1.23,366160500.0,324000.0,0.09,2.71 Cr,15417000.0,35.07,-1.23,366160500,324000,0.09,0.52,25.88,0.62,13.00 - 48.01,15.11 / 19.80 / 25.64,36.79,34.41,71.28,30.71,0.94,,,,,,,,,,
NTPC,341.8,2.77,-1.5,-0.44,-1.86,-8.89,-26.0,-0.03,-0.02,-5.88,-409,-1.18,-532,-4.56,-123,341.8,-1.5,-0.44,124749000.0,-39000.0,-0.03,-1.33 Cr,4504500.0,-10.6,-0.44,124749000,-39000,-0.03,0.32,19.06,-8.89,6.73 - 36.84,20.24 / 19.56 / 21.66,40.95,65.99,-5.83,-2.56,-12,,,,,,,,,,
NUVAMA,1862.3,5.04,14.0,0.76,-4.18,-10.31,-156.0,-4.01,0.01,1.59,-41,-1.57,-5,-0.3,36,1862.3,14.0,0.76,1866000.0,-78000.0,-4.01,-14.53 Cr,249500.0,-38.32,0.76,1866000,-78000,-4.01,0.64,36.37,-10.31,18.35 - 57.51,54.07 / 43.25 / 45.61,46.02,59.75,-32.74,-15.91,-20.26,,,,,,,,,,
NYKAA,324.1,3.35,-2.05,-0.63,-1.33,-5.23,-94.0,-0.63,-0.01,-0.88,-239,-5.49,-323,-6.53,-84,324.1,-2.05,-0.63,46050000.0,-293750.0,-0.63,-9.52 Cr,2387500.0,-20.75,-0.63,46050000,-293750,-0.63,1.13,24.09,-5.23,15.47 - 51.48,23.26 / 24.73 / 37.41,23.94,9.72,3.57,-2.59,-35.61,,,,,,,,,,
OBEROIRLTY,1878.0,6.26,13.8,0.74,2.64,6.23,271.0,1.61,-0.06,-10.91,1989,21.91,337,6.69,-1652,1878.0,13.8,0.74,5970300.0,94850.0,1.61,17.81 Cr,823900.0,37.02,0.74,5970300,94850,1.61,0.49,45.0,6.23,14.15 - 45.00,32.04 / 33.49 / 33.90,100.0,99.6,40.45,34.37,32.74,,,,,,,,,,
OFSS,11837.0,6.14,101.0,0.86,-0.3,-0.67,538.0,3.47,-0.04,-5,531,5.87,6,0.08,-525,11837.0,101.0,0.86,1602100.0,53800.0,3.47,63.68 Cr,420000.0,90.56,0.86,1602100,53800,3.47,0.76,44.26,-0.67,13.10 - 55.42,32.67 / 39.60 / 38.51,73.63,95.14,35.48,11.77,14.93,12000.0,1921.0,269.0,1.38,NO,,,,,
OIL,432.0,3.22,5.8,1.36,-3.28,-12.4,109.0,0.86,0.02,4.65,-476,-6.61,-56,-1.81,420,432.0,5.8,1.36,17829000.0,152600.0,0.86,6.59 Cr,1519000.0,-20.4,1.36,17829000,152600,0.86,0.45,23.18,-12.4,14.18 - 47.82,27.94 / 25.74 / 43.02,26.75,14.98,-17.04,-9.95,-46.12,,,,,,,,,,
ONGC,247.12,2.63,0.24,0.1,-2.24,-10.6,-310.0,-0.83,0,0,773,3.09,303,2.65,-470,247.12,0.24,0.1,83493000.0,-697500.0,-0.83,-17.24 Cr,5708250.0,65.38,0.1,83493000,-697500,-0.83,0.46,18.9,-10.6,5.62 - 98.39,21.14 / 22.15 / 24.97,14.31,46.96,-10.6,-14.67,-24.31,250.0,5380.0,825.0,1.17,NO,,,,,
PAGEIND,39870.0,3.88,-565.0,-1.4,-0.9,-3.16,-222.0,-1.49,-0.1,-20.41,833,12.3,-319,-9.64,-1152,39870.0,-565.0,-1.4,293060.0,-4440.0,-1.49,-17.70 Cr,41060.0,28.71,-1.4,293060,-4440,-1.49,0.39,27.56,-3.16,16.49 - 50.83,27.25 / 37.60 / 34.66,32.24,65.59,1.14,-26.7,-20.48,40000.0,1036.0,688.0,0.33,YES,,,,,
PATANJALI,337.5,6.99,-10.05,-2.89,-11.65,-18.75,-1243.0,-4.28,0.03,3.9,-3294,-15.33,-1940,-11.79,1354,337.5,-10.05,-2.89,29914025.0,-1336225.0,-4.28,-45.10 Cr,9997500.0,0.57,-2.89,29914025,-1336225,-4.28,0.8,50.47,-18.75,13.61 - 78.80,87.61 / 62.75 / 52.76,56.54,97.17,-42.39,-19.57,-4.34,,,,,,,,,,
PAYTM,1350.9,6.78,-12.1,-0.89,-2.35,-4.58,-398.0,-1.19,-0.03,-5.26,37,0.16,-697,-5.27,-734,1350.9,-12.1,-0.89,24009825.0,-288550.0,-1.19,-38.98 Cr,3487975.0,-44.24,-0.89,24009825,-288550,-1.19,0.54,49.0,-4.58,14.24 - 65.62,49.72 / 42.11 / 48.70,67.65,96.76,-1.45,16.36,0.62,,,,,,,,,,
PERSISTENT,5164.5,5.17,110.9,2.19,-2.17,-5.49,-736.0,-1.93,0.06,6.32,-216,-1.2,858,5.02,1074,5164.5,110.9,2.19,4680000.0,-92000.0,-1.93,-47.51 Cr,653625.0,-11.18,2.19,4680000,-92000,-1.93,1.01,37.35,-5.49,15.89 - 64.18,43.82 / 66.99 / 57.10,44.44,66.4,-14.76,-44.25,-34.59,5200.0,2006.0,-23.0,0.69,NO,,,,,
PETRONET,274.1,3.48,-2.35,-0.85,-1.82,-6.77,-12.0,-0.07,0.03,3.75,-115,-2.22,41,0.99,156,274.1,-2.35,-0.85,33069500.0,-22800.0,-0.07,-62.49 L,1976000.0,-2.26,-0.85,33069500,-22800,-0.07,0.83,25.08,-6.77,10.66 - 64.00,27.15 / 22.01 / 30.09,27.03,43.32,-7.62,13.95,-16.65,,,,,,,,,,
PFC,406.3,3.44,3.4,0.84,-1.84,-6.9,-841.0,-2.08,0,0,-367,-2.7,-170,-2.09,197,406.3,3.4,0.84,51500800.0,-1093300.0,-2.08,-44.42 Cr,11077300.0,356.65,0.84,51500800,-1093300,-2.08,0.6,24.82,-6.9,13.77 - 46.37,21.83 / 25.29 / 28.46,33.9,34.41,13.7,-1.86,-12.79,,,,,,400.0,1475.0,-237.0,1.55,NO
PGEL,616.85,4.81,-4.7,-0.76,-3.76,-9.78,-172.0,-1.35,-0.01,-1.02,151,2.18,59,0.87,-92,616.85,-4.7,-0.76,11960500.0,-163400.0,-1.35,-10.08 Cr,2706550.0,-32.2,-0.76,11960500,-163400,-1.35,0.97,34.7,-9.78,18.96 - 75.34,37.52 / 35.11 / 47.78,27.92,18.62,-7.52,-1.17,-27.38,,,,,,600.0,1049.0,12.0,2.73,NO
