Symbol,CMP,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Price,Price chg,Price chg (%),OI,OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%),Price Chg (%),Total OI,Total OI Chg,Total OI Chg (%),PCR,IV,IV Chg (%),IV Range (1Yr),HV (10/20/30 Days),IVR,IVP,IV/HV10 %,IV/HV20 %,IV/HV30 %,Resistance Strike,Resistance Call OI,Resistance Call OI Chg,Resistance Distance %,Near Resistance,Support Strike,Support Put OI,Support Put OI Chg,Support Distance %,Near Support
PHOENIXLTD,2079.1,4.33,-15.1,-0.72,-0.43,-1.36,-90.0,-0.94,-0.04,-7.27,131,4.07,-60,-3.42,-191,2079.1,-15.1,-0.72,3335850.0,-31500.0,-0.94,-6.55 Cr,338100.0,-33.2,-0.72,3335850,-31500,-0.94,0.51,31.28,-1.36,14.42 - 106.79,39.90 / 35.86 / 35.15,18.25,78.14,-21.6,-12.77,-11.01,,,,,,,,,,
PIDILITIND,1559.7,2.91,5.4,0.35,-1.17,-5.29,494.0,3.46,0.02,4,-171,-4.62,-3,-0.16,168,1559.7,5.4,0.35,7388000.0,247000.0,3.46,38.52 Cr,708500.0,69.3,0.35,7388000,247000,3.46,0.52,20.96,-5.29,12.70 - 34.64,27.26 / 21.48 / 22.71,37.65,61.13,-23.11,-2.42,-7.71,,,,,,,,,,
PIIND,2623.3,3.71,-19.8,-0.75,-1.47,-5.21,26.0,0.15,0.03,5.17,-158,-2.31,117,2.94,275,2623.3,-19.8,-0.75,2949450.0,4550.0,0.15,1.19 Cr,111300.0,-47.26,-0.75,2949450,4550,0.15,0.61,26.77,-5.21,15.83 - 60.92,32.96 / 33.85 / 39.43,24.26,51.42,-18.78,-20.92,-32.11,,,,,,2600.0,450.0,-10.0,0.89,NO
PNB,106.02,5.1,0.44,0.42,-0.07,-0.19,-675.0,-1.71,-0.09,-10.98,1813,14.03,123,1.16,-1690,106.02,0.44,0.42,310456000.0,-5400000.0,-1.71,-57.25 Cr,35800000.0,63.86,0.42,310456000,-5400000,-1.71,0.73,36.84,-0.19,13.10 - 49.10,29.68 / 24.50 / 26.71,65.94,92.31,24.12,50.37,37.93,,,,,,,,,,
PNBHOUSING,1099.7,5.04,-0.9,-0.08,-0.2,-0.55,-259.0,-2.13,0.02,4.35,-54,-1.3,66,3.46,120,1099.7,-0.9,-0.08,7721350.0,-168350.0,-2.13,-18.51 Cr,817700.0,33.26,-0.08,7721350,-168350,-2.13,0.48,36.35,-0.55,17.31 - 90.49,37.21 / 28.50 / 32.76,26.02,79.76,-2.31,27.54,10.96,1100.0,520.0,39.0,0.03,YES,1080.0,231.0,-15.0,1.79,NO
POLICYBZR,1580.9,5.13,13.7,0.87,-0.85,-2.24,2048.0,7.6,0.01,1.39,154,1.82,217,3.56,63,1580.9,13.7,0.87,10143350.0,716800.0,7.6,113.32 Cr,1924300.0,36.26,0.87,10143350,716800,7.6,0.73,37.08,-2.24,13.79 - 49.94,37.07 / 41.65 / 37.43,64.43,72.06,0.03,-10.97,-0.94,1600.0,1266.0,77.0,1.21,NO,1560.0,766.0,-41.0,1.32,NO
POLYCAB,8862.5,3.89,-379.5,-4.11,-5.55,-16.6,2260.0,11.83,-0.28,-33.33,12602,56.09,765,4.07,-11837,8862.5,-379.5,-4.11,2670625.0,282500.0,11.83,250.37 Cr,1362250.0,-24.3,-4.11,2670625,282500,11.83,0.56,27.89,-16.6,13.83 - 43.96,37.53 / 34.71 / 34.06,46.66,66.4,-25.69,-19.65,-18.12,,,,,,,,,,
POWERGRID,283.7,2.86,2.8,1,0.73,3.68,-1243.0,-3.71,0.04,8.51,-673,-4.82,143,2.16,816,283.7,2.8,1.0,61335800.0,-2361700.0,-3.71,-67.00 Cr,6657600.0,133.44,1,61335800,-2361700,-3.71,0.51,20.56,3.68,10.36 - 40.04,19.87 / 19.35 / 18.31,34.37,60.32,3.47,6.25,12.29,290.0,2650.0,-287.0,2.22,NO,,,,,
POWERINDIA,32150.0,6,-1405.0,-4.19,1.2,2.87,616.0,3.29,-0.18,-24,5291,31.84,41,0.33,-5250,32150.0,-1405.0,-4.19,483750.0,15400.0,3.29,49.51 Cr,108975.0,-4.24,-4.19,483750,15400,3.29,0.57,43.04,2.87,17.79 - 124.75,55.42 / 60.70 / 57.34,23.61,77.95,-22.34,-29.09,-24.94,,,,,,,,,,
PREMIERENE,1083.1,4.72,-20.7,-1.88,-1.88,-5.25,77.0,0.72,-0.04,-5.97,196,3.79,-87,-2.52,-283,1083.1,-20.7,-1.88,7015450.0,50050.0,0.72,5.42 Cr,863200.0,-17.21,-1.88,7015450,50050,0.72,0.63,33.92,-5.25,24.90 - 60.65,38.85 / 33.02 / 29.55,25.23,24.63,-12.69,2.73,14.79,,,,,,,,,,
PRESTIGE,1691.0,4.68,42.3,2.57,-4.3,-11.28,-192.0,-1.68,0.04,7.02,-53,-1.26,156,6.53,209,1691.0,42.3,2.57,5054850.0,-86400.0,-1.68,-14.61 Cr,1075050.0,-22.94,2.57,5054850,-86400,-1.68,0.61,33.81,-11.28,14.99 - 51.78,45.46 / 39.95 / 45.94,51.16,64.37,-25.63,-15.37,-26.4,,,,,,,,,,
RADICO,4100.6,4.7,2.0,0.05,-1.25,-3.57,292.0,9.6,-0.02,-2.2,-37,-1.38,-89,-3.67,-52,4100.6,2.0,0.05,499950.0,43800.0,9.6,17.96 Cr,131550.0,13.16,0.05,499950,43800,9.6,0.89,33.79,-3.57,16.53 - 39.17,34.68 / 30.25 / 28.90,76.24,58.33,-2.57,11.7,16.92,,,,,,,,,,
RBLBANK,369.15,5.94,4.65,1.28,1.64,3.99,67.0,0.45,0.01,1.75,431,5.89,317,7.63,-114,369.15,4.65,1.28,47304325.0,212725.0,0.45,7.85 Cr,8845550.0,-61.88,1.28,47304325,212725,0.45,0.58,42.76,3.99,15.75 - 90.36,49.39 / 41.88 / 39.71,36.2,88.66,-13.42,2.1,7.68,,,,,,,,,,
RECLTD,353.5,3.43,4.9,1.41,-2.35,-8.76,-632.0,-2.26,0.04,6.25,-1034,-8.81,-225,-2.98,809,353.5,4.9,1.41,43107750.0,-995400.0,-2.26,-35.19 Cr,5789700.0,84.72,1.41,43107750,-995400,-2.26,0.68,24.48,-8.76,15.03 - 44.52,23.05 / 28.01 / 31.69,32.04,35.63,6.2,-12.6,-22.75,,,,,,,,,,
RELIANCE,1327.9,3.6,28.8,2.22,-1.35,-4.94,-3703.0,-1.76,0.01,1.69,576,0.42,2678,3.31,2102,1327.9,28.8,2.22,103202500.0,-1851500.0,-1.76,-245.86 Cr,20746500.0,100.48,2.22,103202500,-1851500,-1.76,0.6,25.96,-4.94,8.02 - 29.53,28.35 / 23.58 / 23.85,83.4,89.47,-8.43,10.09,8.85,,,,,,1300.0,8943.0,-776.0,2.1,NO
RVNL,226.46,4.97,-0.89,-0.39,-1.89,-5.02,-101.0,-0.55,0,0,-119,-1,-9,-0.13,110,226.46,-0.89,-0.39,35167825.0,-194425.0,-0.55,-4.40 Cr,3337950.0,5.93,-0.39,35167825,-194425,-0.55,0.6,35.77,-5.02,18.29 - 68.17,30.56 / 25.23 / 35.87,35.04,39.27,17.05,41.78,-0.28,,,,,,,,,,
SAIL,163.08,5.13,-1.2,-0.73,-0.56,-1.49,-61.0,-0.15,-0.02,-3.57,186,3.36,23,0.74,-163,163.08,-1.2,-0.73,195341400.0,-286700.0,-0.15,-4.68 Cr,11693600.0,106.13,-0.73,195341400,-286700,-0.15,0.54,37.04,-1.49,16.62 - 80.83,26.40 / 31.90 / 32.66,31.8,75.71,40.3,16.11,13.41,,,,,,,,,,
SBICARD,654.35,4.94,8.35,1.29,0.63,1.8,-1392.0,-4.17,0.04,8.7,-1189,-6.97,122,1.55,1311,654.35,8.35,1.29,25583200.0,-1113600.0,-4.17,-72.87 Cr,6284000.0,-5.87,1.29,25583200,-1113600,-4.17,0.5,35.66,1.8,14.30 - 62.50,37.67 / 39.70 / 39.53,44.32,92.71,-5.34,-10.18,-9.79,,,,,,,,,,
SBILIFE,1834.1,3.68,8.9,0.49,-0.43,-1.6,56.0,0.29,0.08,12.12,-504,-6.3,231,4.36,735,1834.1,8.9,0.49,7181625.0,21000.0,0.29,3.85 Cr,1041750.0,35.84,0.49,7181625,21000,0.29,0.74,26.39,-1.6,8.10 - 40.80,33.91 / 26.26 / 26.68,55.93,92.71,-22.18,0.5,-1.09,,,,,,1800.0,610.0,186.0,1.86,NO
SBIN,1045.0,3.11,11.1,1.07,-0.81,-3.49,-2252.0,-2.59,0.03,3.9,-2252,-4.02,407,0.95,2659,1045.0,11.1,1.07,63485250.0,-1689000.0,-2.59,-176.50 Cr,11961000.0,152.14,1.07,63485250,-1689000,-2.59,0.8,22.39,-3.49,9.74 - 37.31,24.15 / 22.70 / 21.56,45.88,68.02,-7.29,-1.37,3.85,1050.0,10842.0,2247.0,0.48,YES,,,,,
SENSEX,78129.05,1.4,799.05,1.03,0.85,6.77,-76.0,-3.43,0.15,14.02,4790,17.26,9958,33.39,5168,78129.05,,,,,,,,,1.03,42760,-1520,-3.43,1.22,13.41,6.77,7.66 - 41.34,16.83 / 14.89 / 15.58,17.07,65.18,-20.32,-9.94,-13.93,,,,,,,,,,
SENSEX50,0.0,-,0.0,-,-,-,,-,-,-,-,-,-,-,-,0.0,,,,,,,,,-,0,0,-,,,-,-,- / - / -,,,-,-,-,,,,,,,,,,
SHREECEM,26495.0,3.48,-410.0,-1.52,0.17,0.68,4.0,0.03,-0.08,-10.13,264,11.52,5,0.28,-259,26495.0,-410.0,-1.52,345775.0,100.0,0.03,26.50 L,15975.0,-39.89,-1.52,345775,100,0.03,0.71,25.12,0.68,11.81 - 42.75,30.60 / 34.19 / 32.91,43.02,63.56,-17.91,-26.53,-23.67,27000.0,453.0,99.0,1.91,NO,26000.0,377.0,32.0,1.87,NO
SHRIRAMFIN,1035.7,5.26,8.0,0.78,-0.07,-0.18,-1727.0,-4.79,0.01,1.52,-351,-2.77,-125,-1.49,226,1035.7,8.0,0.78,28338750.0,-1424775.0,-4.79,-147.56 Cr,3073125.0,82.06,0.78,28338750,-1424775,-4.79,0.67,37.88,-0.18,18.47 - 56.96,42.52 / 33.40 / 43.79,50.43,80.16,-10.91,13.41,-13.5,1050.0,2573.0,-26.0,1.38,NO,,,,,
SIEMENS,3645.0,4.71,-8.5,-0.23,-1.7,-4.77,-125.0,-0.56,0.01,2.13,-421,-3.71,-74,-1.4,347,3645.0,-8.5,-0.23,3864875.0,-21875.0,-0.56,-7.97 Cr,458500.0,-85.15,-0.23,3864875,-21875,-0.56,0.48,33.94,-4.77,14.00 - 71.99,26.59 / 29.09 / 28.04,34.39,75.71,27.64,16.67,21.04,3700.0,1994.0,-206.0,1.51,NO,,,,,
SOLARINDS,18483.0,5.11,35.0,0.19,-1.79,-4.63,56.0,0.36,-0.02,-2.7,292,3.77,1,0.02,-291,18483.0,35.0,0.19,772700.0,2800.0,0.36,5.18 Cr,60050.0,7.33,0.19,772700,2800,0.36,0.72,36.87,-4.63,8.66 - 57.71,40.83 / 41.48 / 41.06,57.51,77.33,-9.7,-11.11,-10.2,,,,,,,,,,
SONACOMS,705.0,5.17,18.45,2.69,-2.42,-6.13,914.0,7.14,0.05,7.04,237,3.67,468,10.16,231,705.0,18.45,2.69,16793525.0,1119650.0,7.14,78.94 Cr,6372450.0,44.42,2.69,16793525,1119650,7.14,0.76,37.08,-6.13,20.66 - 97.30,25.30 / 34.26 / 32.32,21.42,78.54,46.56,8.23,14.73,,,,,,,,,,
SRF,2869.8,4.6,-17.0,-0.59,-1.84,-5.27,-355.0,-2.04,0.07,10.29,-633,-6.56,118,1.78,751,2869.8,-17.0,-0.59,3406000.0,-71000.0,-2.04,-20.38 Cr,535000.0,-65.82,-0.59,3406000,-71000,-2.04,0.75,33.08,-5.27,12.58 - 53.21,38.94 / 33.41 / 32.75,50.46,85.83,-15.05,-0.99,1.01,2900.0,1403.0,-215.0,1.05,NO,,,,,
SUNPHARMA,1930.8,2.38,-20.8,-1.07,0.29,1.74,-3282.0,-6.43,-0.04,-7.27,7,0.02,-1046,-6.28,-1053,1930.8,-20.8,-1.07,16727200.0,-1148700.0,-6.43,-221.79 Cr,2523850.0,313.95,-1.07,16727200,-1148700,-6.43,0.51,16.99,1.74,8.21 - 34.78,20.91 / 17.77 / 15.28,33.04,54.25,-18.75,-4.39,11.19,1960.0,8002.0,-146.0,1.51,NO,1900.0,2547.0,-76.0,1.6,NO
SUPREMEIND,3432.4,4.14,-91.1,-2.59,-0.09,-0.3,155.0,1.32,-0.05,-6.85,717,13.56,241,6.27,-476,3432.4,-91.1,-2.59,2087925.0,27125.0,1.32,9.31 Cr,211225.0,-37.53,-2.59,2087925,27125,1.32,0.68,29.56,-0.3,17.47 - 62.87,33.52 / 45.20 / 39.70,26.63,50.2,-11.81,-34.6,-25.54,,,,,,,,,,
SUZLON,52.17,4.96,0.05,0.1,-2.54,-6.62,24.0,0.08,0,0,-732,-3.45,-74,-1.04,658,52.17,0.05,0.1,406603200.0,304800.0,0.08,1.59 Cr,47447200.0,79.1,0.1,406603200,304800,0.08,0.34,35.85,-6.62,10.07 - 87.65,23.03 / 25.60 / 33.32,33.23,56.78,55.67,40.04,7.59,,,,,,52.0,875.0,68.0,0.33,YES
SWIGGY,276.29,5.91,3.11,1.14,-2.09,-4.67,-1714.0,-6.2,0.04,6.35,-749,-7.18,-13,-0.2,736,276.29,3.11,1.14,47283925.0,-3128050.0,-6.2,-86.42 Cr,15550825.0,-47.76,1.14,47283925,-3128050,-6.2,0.67,42.67,-4.67,27.67 - 52.28,75.84 / 57.91 / 55.12,60.95,61.19,-43.74,-26.32,-22.59,,,,,,,,,,
TATACONSUM,1089.5,3.38,-1.2,-0.11,-0.59,-2.36,-101.0,-0.37,0.03,4.41,-124,-1.37,159,2.58,283,1089.5,-1.2,-0.11,15036450.0,-55550.0,-0.37,-6.05 Cr,963600.0,107.34,-0.11,15036450,-55550,-0.37,0.71,24.41,-2.36,15.48 - 41.34,24.62 / 29.18 / 27.60,34.53,70.45,-0.85,-16.35,-11.56,1100.0,1065.0,28.0,0.96,NO,,,,,
TATAELXSI,3501.0,4.49,-8.7,-0.25,-3.39,-9.47,-290.0,-1.05,0,0,-298,-1,-358,-2.6,-60,3501.0,-8.7,-0.25,3404125.0,-36250.0,-1.05,-12.69 Cr,431000.0,-42.71,-0.25,3404125,-36250,-1.05,0.46,32.39,-9.47,14.13 - 58.57,47.96 / 46.67 / 41.52,41.09,55.87,-32.46,-30.6,-21.99,,,,,,3500.0,1446.0,-105.0,0.03,YES
TATAPOWER,377.55,3.76,-0.9,-0.24,1.74,6.89,-2190.0,-5.08,0.04,4.76,-135,-0.71,478,2.97,613,377.55,-0.9,-0.24,59305000.0,-3175500.0,-5.08,-119.89 Cr,5301200.0,42.65,-0.24,59305000,-3175500,-5.08,0.88,27.01,6.89,12.26 - 41.75,17.96 / 19.85 / 20.79,50.02,76.92,50.39,36.07,29.92,,,,,,,,,,
TATASTEEL,185.84,3.56,0.11,0.06,-2.68,-9.45,-4660.0,-6.94,0.02,3.77,-1276,-3.45,-71,-0.36,1205,185.84,0.11,0.06,171773250.0,-12815000.0,-6.94,-238.15 Cr,29166500.0,195.35,0.06,171773250,-12815000,-6.94,0.55,25.67,-9.45,10.03 - 42.90,21.65 / 22.85 / 22.33,47.58,56.28,18.57,12.34,14.96,190.0,6532.0,216.0,2.24,NO,,,,,
TCS,2263.6,3.48,65.0,2.96,-0.31,-1.22,-1587.0,-0.89,0.13,17.11,-6467,-6.15,8041,10.05,14508,2263.6,65.0,2.96,39619800.0,-357075.0,-0.89,-80.83 Cr,8824950.0,13.81,2.96,39619800,-357075,-0.89,0.89,25.15,-1.22,10.28 - 37.75,42.45 / 47.16 / 40.70,54.13,62.75,-40.75,-46.67,-38.21,,,,,,,,,,
TECHM,1574.7,3.78,64.7,4.28,-10.6,-28.06,-1028.0,-2.73,0.19,26.39,-576,-3.53,2692,23.06,3268,1574.7,64.7,4.28,21976800.0,-616800.0,-2.73,-97.13 Cr,11926800.0,71.94,4.28,21976800,-616800,-2.73,0.91,27.17,-28.06,9.15 - 40.19,37.14 / 44.00 / 38.60,58.05,59.92,-26.84,-38.25,-29.61,,,,,,,,,,
TIINDIA,2884.8,4.43,-51.2,-1.74,-1,-3.06,-70.0,-0.74,0.01,2.04,184,6.63,101,7.38,-83,2884.8,-51.2,-1.74,1869800.0,-14000.0,-0.74,-4.04 Cr,204600.0,-10.73,-1.74,1869800,-14000,-0.74,0.5,31.7,-3.06,15.40 - 51.23,24.77 / 32.01 / 38.51,45.49,53.04,27.98,-0.97,-17.68,,,,,,,,,,
TITAN,4636.3,2.82,7.0,0.15,-0.59,-2.84,-595.0,-1.84,0.02,2.44,-51,-0.21,409,2.07,460,4636.3,7.0,0.15,5539800.0,-104125.0,-1.84,-48.28 Cr,570675.0,-25.36,0.15,5539800,-104125,-1.84,0.84,20.21,-2.84,7.46 - 38.76,18.53 / 22.27 / 27.05,40.73,55.47,9.07,-9.25,-25.29,,,,,,,,,,
TMPV,336.8,4.31,3.75,1.13,-3.76,-10.79,-1647.0,-2.96,0.01,2.38,-2290,-4.78,-103,-0.52,2187,336.8,3.75,1.13,86446400.0,-2635200.0,-2.96,-88.75 Cr,8745600.0,29.77,1.13,86446400,-2635200,-2.96,0.43,31.08,-10.79,15.47 - 44.77,31.62 / 28.60 / 41.02,53.28,61.11,-1.71,8.67,-24.23,,,,,,,,,,
TORNTPHARM,4754.8,3.49,-90.7,-1.87,-1.06,-4.04,-552.0,-2.04,-0.04,-5.26,1039,15.63,483,9.5,-556,4754.8,-90.7,-1.87,3305500.0,-69000.0,-2.04,-32.81 Cr,846125.0,-73.3,-1.87,3305500,-69000,-2.04,0.72,25.15,-4.04,10.90 - 56.54,31.80 / 27.98 / 26.28,31.22,72.87,-20.91,-10.11,-4.3,,,,,,4700.0,684.0,410.0,1.15,NO
TRENT,2850.6,3.88,-12.6,-0.44,-1.41,-4.79,-1143.0,-1.98,0.01,1.96,-1111,-2.34,309,1.29,1420,2850.6,-12.6,-0.44,12712275.0,-257175.0,-1.98,-73.31 Cr,937350.0,-2.66,-0.44,12712275,-257175,-1.98,0.52,28.05,-4.79,16.48 - 59.18,73.58 / 57.09 / 58.93,27.1,41.7,-61.88,-50.87,-52.4,,,,,,,,,,
TVSMOTOR,3619.7,4.85,42.2,1.18,-1.55,-4.23,-914.0,-1.23,0.01,1.35,-475,-3.67,-238,-2.47,237,3619.7,42.2,1.18,12848675.0,-159950.0,-1.23,-57.90 Cr,614775.0,-9.25,1.18,12848675,-159950,-1.23,0.75,35.05,-4.23,14.16 - 41.52,27.39 / 33.90 / 33.30,76.35,90.69,27.97,3.39,5.26,,,,,,3600.0,936.0,7.0,0.54,NO
ULTRACEMCO,11730.0,3.94,-45.0,-0.38,-0.55,-1.9,-831.0,-1.89,0.04,7.27,151,1,668,7.96,517,11730.0,-45.0,-0.38,2158600.0,-41550.0,-1.89,-48.74 Cr,280400.0,32.83,-0.38,2158600,-41550,-1.89,0.59,28.43,-1.9,12.30 - 47.01,29.40 / 24.86 / 25.54,46.47,86.64,-3.3,14.36,11.32,12000.0,3419.0,333.0,2.3,NO,11700.0,1118.0,473.0,0.26,YES
UNIONBANK,168.64,4.4,-0.39,-0.23,-1.77,-5.28,-952.0,-3.01,0.02,3.57,-728,-4.29,-58,-0.61,670,168.64,-0.39,-0.23,135648375.0,-4212600.0,-3.01,-71.04 Cr,17399100.0,-27.14,-0.23,135648375,-4212600,-3.01,0.58,31.73,-5.28,12.77 - 48.98,49.51 / 45.40 / 42.49,52.36,57.49,-35.91,-30.11,-25.32,,,,,,,,,,
UNITDSPR,1377.0,4.1,-9.1,-0.66,-0.93,-3.05,151.0,0.66,0.02,2.27,-97,-1.47,52,0.89,149,1377.0,-9.1,-0.66,9202800.0,60400.0,0.66,8.32 Cr,756000.0,-35.87,-0.66,9202800,60400,0.66,0.9,29.54,-3.05,16.23 - 37.59,27.07 / 30.02 / 28.30,62.31,87.85,9.12,-1.6,4.38,1400.0,995.0,18.0,1.67,NO,,,,,
UNOMINDA,1156.4,4.34,2.0,0.17,-1.78,-5.38,-5.0,-0.06,0.02,3.92,-19,-0.54,55,3.08,74,1156.4,2.0,0.17,4743200.0,-2750.0,-0.06,-31.80 L,255750.0,-53.82,0.17,4743200,-2750,-0.06,0.53,31.29,-5.38,13.16 - 45.98,23.04 / 31.28 / 41.07,55.24,53.85,35.81,0.03,-23.81,,,,,,,,,,
UPL,616.9,3.68,-4.45,-0.72,-3.36,-11.22,-46.0,-0.22,-0.05,-6.58,-190,-2.34,-467,-7.6,-277,616.9,-4.45,-0.72,28173160.0,-62330.0,-0.22,-3.85 Cr,3917305.0,-43.39,-0.72,28173160,-62330,-0.22,0.71,26.58,-11.22,13.55 - 62.38,41.42 / 41.65 / 38.71,26.68,58.3,-35.83,-36.18,-31.34,,,,,,600.0,872.0,-37.0,2.74,NO
VBL,463.3,4.05,-4.9,-1.05,-2.17,-6.91,-1655.0,-4,0,0,52,0.27,14,0.16,-38,463.3,-4.9,-1.05,50585625.0,-2110125.0,-4.0,-97.76 Cr,7363125.0,-5.81,-1.05,50585625,-2110125,-4,0.43,29.25,-6.91,12.54 - 58.48,30.21 / 28.78 / 29.78,36.37,65.59,-3.18,1.63,-1.78,,,,,,,,,,
VEDL,253.0,5.37,-5.85,-2.26,-1.91,-4.77,-938.0,-1.66,-0.03,-6.25,1640,3.85,-295,-1.45,-1935,253.0,-5.85,-2.26,63942300.0,-1078700.0,-1.66,-27.29 Cr,10811150.0,60.73,-2.26,63942300,-1078700,-1.66,0.45,38.13,-4.77,0.41 - 51.01,20.89 / 45.31 / 43.67,74.55,69.23,82.53,-15.85,-12.69,,,,,,,,,,
VMM,110.74,5.61,-1.79,-1.59,5.5,15.74,2.0,0.02,0.05,14.71,142,5.03,185,19.07,43,110.74,-1.79,-1.59,44401750.0,9700.0,0.02,10.74 L,5509600.0,124.51,-1.59,44401750,9700,0.02,0.39,40.45,15.74,25.31 - 62.92,23.84 / 30.12 / 29.18,40.26,69.86,69.67,34.3,38.62,,,,,,110.0,221.0,101.0,0.67,NO
VOLTAS,1345.5,4.04,-33.5,-2.43,-1.15,-3.79,229.0,1.09,-0.11,-12.22,635,7.18,-417,-5.26,-1052,1345.5,-33.5,-2.43,7992750.0,85875.0,1.09,11.55 Cr,694500.0,-39.04,-2.43,7992750,85875,1.09,0.79,29.2,-3.79,16.09 - 53.68,40.17 / 32.01 / 31.29,34.88,52.63,-27.31,-8.78,-6.68,,,,,,,,,,
WAAREEENER,2838.7,4.86,7.1,0.25,-0.82,-2.29,-522.0,-1.25,0,0,-492,-2.88,-151,-1.89,341,2838.7,7.1,0.25,7219975.0,-91350.0,-1.25,-25.93 Cr,442050.0,10.02,0.25,7219975,-91350,-1.25,0.47,34.91,-2.29,20.66 - 65.89,25.16 / 30.81 / 26.71,31.51,29.85,38.75,13.31,30.7,,,,,,2800.0,1913.0,-34.0,1.36,NO
WIPRO,173.98,3.63,-2.16,-1.23,-15.82,-37.8,-3970.0,-3.73,-0.06,-8.82,359,1.02,-1748,-7.38,-2107,173.98,-2.16,-1.23,307566000.0,-11910000.0,-3.73,-207.21 Cr,48789000.0,105.24,-1.23,307566000,-11910000,-3.73,0.62,26.03,-37.8,13.16 - 41.85,23.39 / 27.51 / 38.87,44.86,55.87,11.29,-5.38,-33.03,,,,,,170.0,5017.0,26.0,2.29,NO
YESBANK,23.64,5.59,-0.15,-0.63,1.67,4.48,-279.0,-0.7,-0.03,-6.82,1825,10.19,241,3.07,-1584,23.64,-0.15,-0.63,1232150900.0,-8676900.0,-0.7,-20.51 Cr,144490600.0,139.24,-0.63,1232150900,-8676900,-0.7,0.41,38.95,4.48,11.97 - 43.39,20.70 / 26.35 / 37.88,85.87,94.33,88.16,47.82,2.82,,,,,,,,,,
ZYDUSLIFE,1142.8,3.38,-12.2,-1.06,-1.94,-7.37,-79.0,-0.69,0,0,-78,-1.66,-40,-1.44,38,1142.8,-12.2,-1.06,10236600.0,-71100.0,-0.69,-8.13 Cr,902700.0,49.93,-1.06,10236600,-71100,-0.69,0.59,24.4,-7.37,13.77 - 38.88,20.33 / 26.30 / 24.57,42.33,62.35,20.02,-7.22,-0.69,1160.0,731.0,5.0,1.51,NO,,,,,
